Symbol
AAPL
WMT
ADBE
BKNG
EL
PEP
ADSK
TJX
MMM
KLAC
CDNS
MCHP
EOG
AIG
GILD
PAYX
BMY
CSCO
COST
COP
ABNB
ADP
ACN
PXD
OXY
XOM
AXP
TER
EW
MSM
BBY
EQH
POOL
MANH
BLDR
LULU
TPR
ISRG
LSTR
VRTX
AMP
PANW
TDC
EBAY
CHE
CPRI
PFG
VLO
KR
MRK
BPOP
GPC
UFPI
ECL
CHX
YETI
QLYS
PBF
DCI
CAT
MLI
AYI
TGT
LNTH
EXPE
BIIB
NSP
LRCX
EXPD
SYF
HUM
RHI
JNJ
ULTA
ON
ENPH
TPL
FBP
LLY
FTNT
SLM
MXL
SCHW
PSTG
POWI
DVN
BMI
DFS
MPC
ABC
OLN
TREX
FBIN
M
DEN
SMAR
AMN
CTAS
STT
LPX
BKU
OFG
CTSH
LOPE
CIVI
JKHY
FAST
PLAB
CUBI
SHOO
PG
PRI
IT
EXTR
JBSS
RS
AON
OXM
WTS
RRC
BXC
CARG
CTRA
AOS
CASH
GWW
CRUS
V
MA
MOH
DECK
GOOGL
ACLS
FHI
MRVI
CHCO
CASY
MEDP
CRVL
CGNX
CVLT
VRTV
JXN
ROL
BSIG
LEN-B
AEL
CNO
BHLB
DFIN
HCKT
GMS
FNF
WSFS
BBSI
MAN
BHF
NTAP
PRDO
KO
CPF
TFIN
MCFT
AMPH
SMCI
EME
KMB
PUMP
MED
ATEN
GPOR
AEO
SWN
THRY
CATY
FFIV
KFRC
AMR
CALM
CEIX
TTC
COKE
ALLY
IDT
SAM
LSCC
STLD
NUS
CF
SM
UNFI
FIZZ
XPO
WMS
SWAV
HNI
GGG
TBBK
BANC
CXT
ODFL
SNPS
ANF
RES
SKY
RL
LZ
BRKR
FC
FLO
HCC
MCRI
PRLB
FCNCA
LECO
OPY
BCC
SRCE
TXN
HSIC
OMF
INSP
EQT
PINS
MOV
TK
USNA
TBI
EPAC
NVR
WSBC
APOG
PTEN
PSMT
DLB
SYNA
CVCO
MYRG
VRTS
KAI
RGP
LUMN
BBW
YELP
BRC
KN
THFF
ODP
SEIC
ZEUS
MNST
PAYC
ALGN
APPF
IOSP
HOLX
PDCO
NUE
INCY
SLVM
DUOL
MCO
RYI
TEAM
ALSN
DCOM
WMK
WLY
CHRD
PDFS
AEIS
ZIMV
PWP
MGY
DOX
UPBD
KLIC
CNXC
ELF
MPWR
LANC
FIX
CVLG
PRTS
AAP
UAA
VSH
MTW
OSPN
ABT
CCRN
COUR
ACAD
ASC
RDN
SPTN
BOKF
WIRE
CNXN
CTS
NKE
COHU
NMIH
COOP
SCHL
MTG
LPRO
TALO
OC
BKE
FLT
PFSI
RMBS
DKS
TMP
MYE
CSGS
EPAM
PJT
CPRX
ZION
DXLG
HDSN
CRAI
SXC
TCMD
ALKS
OVV
HTH
SNA
MUSA
ATKR
CR
MTDR
TRMK
HAE
FIBK
FORR
WFRD
AIN
MBUU
MATW
NTB
BECN
SXI
MATX
GOLF
QRVO
ARCH
IIIN
KRNY
PARR
MSFT
ATRC
IMKTA
MAT
ANET
IAC
FWRD
KD
ADEA
WNC
AMG
ENVA
EXLS
MRTN
FLWS
NAVI
WSO
SAIA
OFIX
KEYS
ZUMZ
CAL
HOV
IRTC
PRG
OII
ROST
BY
LKFN
INGN
JYNT
AVD
HIBB
BANR
DNOW
KELYA
WU
DTC
EGBN
TRIP
NMRK
PUBM
TNC
HAFC
ABBV
HOUS
DLX
CLW
NDSN
BOOM
FTDR
TNET
SSTK
REVG
JBL
NSSC
EA
SSD
ULH
APAM
COLM
AMAL
NX
QRTEA
SBSI
CORT
ALGM
LKQ
VYGR
ASIX
HONE
ARRY
AAN
RM
EBF
CAH
WST
IRMD
MMI
FELE
CBSH
HZO
TRUE
CHS
SD
PFBC
ETD
TLYS
LZB
PFC
SIG
DLTH
CNS
PGC
TWI
LQDT
FOSL
COCO
WASH
IPAR
QCOM
ITW
AIT
HUBB
ZBRA
YNDX
